GEOID20,route
060372951031018,550  
060376703244017,232  
060372945102011,232  
060375776052002,577  
060376203011003,232  
060376205013013,126  
060372911301000,125  
060375700034009,266  
060372093002001,66  
060375770002001,577  
060374625004007,256  
060372351003009,108  
060372754001011,108  
060372723021005,733  
060375335012004,108  
060372321201016,81  
060372732004000,33  
060372734032011,33  
060376019001004,212  
060372420003005,55  
060375343011003,611  
060375720014004,60  
060375704032009,60  
060376033023003,130  
060376211043009,130  
060375538022003,128  
060375409012009,51  
060375401012009,260  
060376504011014,344  
060376209012007,232  
060375546002006,130  
060376209041017,126  
060376041022004,40  
060375439031002,246  
060376703261014,344  
060376703241014,344  
060371375023022,150  
060372735022001,733  
060376013011010,212  
060372373004002,209  
060376004002007,209  
060372380001007,117  
060372381002010,115  
060372397023008,115  
060372780012004,115  
060375526013006,62  
060376037021008,126  
060377012011014,602  
060377008023018,20  
060376041021011,211  
060379800151017,246  
060372951031005,550  
060374633001008,267  
060372313011001,206  
060372677002027,734  
060372328002006,108  
060375004021008,266  
060375006004004,265  
060376012023008,211  
060375350021002,110  
060373105011024,794  
060371171013002,166  
060371249021000,237  
060375407002003,120  
060374801023002,487  
060375722014003,801 
060376209012008,232  
060372962202012,205  
060375009001005,265  
060375759012016,801 
060375042003006,120  
060372406003008,10  
060372406004008,10  
060375042001008,120  
060372430011006,612  
060376010021004,212  
060372780011006,102  
060375026041009,62  
060375524002013,460  
060375547003010,62  
060372242002007,35  
060377016021001,20  
060377012022014,20  
060372218202000,14  
060372222001001,14  
060372697002005,16  
060373111001007,164  
060376702021005,344  
060375763021023,60  
060375433051067,202  
060375545213013,130  
060371082022032,243  
060375310003031,256  
060376028021000,754  
060375522002004,62  
060377023003001,806 
060379800341076,128  
060375435033000,910  
060374636023005,177  
060372060511074,60  
060372625011009,602  
060372676002001,806 
060372240201031,78  
060377020023011,733  
060372405001003,10  
060372384004013,207  
060375002022005,120  
060375532012008,125  
060375414011000,202  
060375409021027,45  
